product_name,post_text,engagement
Smartphone,Awesome new phone with great features,150
Laptop,This laptop is terrible and expensive,80
Running Shoes,Good quality running shoes,120
Headphones,Poor sound quality disappointing,60
Fitness Tracker,Great device for tracking fitness,200
Tablet,Awesome tablet with amazing display,180
Basketball,Good basketball for practice,90
Wireless Earbuds,Bad connectivity issues,70
Smart Watch,Incredible smartwatch with cool features,220
Tennis Racket,Excellent racket for professional players,100
Gaming Console,Amazing gaming experience,250
Soccer Ball,Decent ball for casual players,80
Smartphone,Great battery life and performance,160
Laptop,Very slow and overheats quickly,70
Running Shoes,Comfortable and durable,130
Headphones,Average sound quality,65
Fitness Tracker,Accurate and easy to use,210
Tablet,Great for entertainment and work,190
Basketball,Good grip and bounce,95
Wireless Earbuds,Good sound but poor battery life,75
Smart Watch,Stylish and functional,230
Tennis Racket,Great for beginners and pros,105
Gaming Console,Best console for gaming,260
Soccer Ball,Good for training and matches,85
Smartphone,Excellent camera and display,170
Laptop,Reliable and fast performance,90
Running Shoes,Lightweight and comfortable,140
Headphones,Good value for money,70
Fitness Tracker,Helps in maintaining fitness goals,220
Tablet,Great for kids and adults,200
Basketball,Durable and long-lasting,100
Wireless Earbuds,Good sound quality,80
Smart Watch,Great fitness tracking features,240
Tennis Racket,Good for all skill levels,110
Gaming Console,Amazing graphics and performance,270
Soccer Ball,Good for casual play,90
Smartphone,Great performance and design,180
Laptop,Good for work and gaming,100
Running Shoes,Great for long runs,150
Headphones,Good noise cancellation,75
Fitness Tracker,Great for tracking health metrics,230
Tablet,Great for reading and browsing,210
Basketball,Good for outdoor play,105
Wireless Earbuds,Good for calls and music,85
Smart Watch,Great for notifications and fitness,250
Tennis Racket,Good for competitive play,115
Gaming Console,Great for multiplayer games,280
Soccer Ball,Good for practice sessions,95
Smartphone,Great for photography,190
Laptop,Good for students and professionals,110
Running Shoes,Great for marathons,160
Headphones,Good bass and clarity,80
Fitness Tracker,Great for tracking steps and calories,240
Tablet,Great for watching movies,220
Basketball,Good for indoor play,110
Wireless Earbuds,Good for workouts,90
Smart Watch,Great for sleep tracking,260
Tennis Racket,Good for training,120
Gaming Console,Great for family entertainment,290
Soccer Ball,Good for kids,100
Smartphone,Great for gaming,200
Laptop,Good for multitasking,120
Running Shoes,Great for trail running,170
Headphones,Good for travel,85
Fitness Tracker,Great for heart rate monitoring,250
Tablet,Great for drawing and creativity,230
Basketball,Good for school teams,115
Wireless Earbuds,Good for commuting,95
Smart Watch,Great for health monitoring,270
Tennis Racket,Good for recreational play,125
Gaming Console,Great for streaming games,300
Soccer Ball,Good for tournaments,105
Smartphone,Great for social media,210
Laptop,Good for video editing,130
Running Shoes,Great for sprinting,180
Headphones,Good for podcasts,90
Fitness Tracker,Great for tracking workouts,260
Tablet,Great for online classes,240
Basketball,Good for street play,120
Wireless Earbuds,Good for long listening sessions,100
Smart Watch,Great for notifications,280
Tennis Racket,Good for club play,130
Gaming Console,Great for VR games,310
Soccer Ball,Good for friendly matches,110
Smartphone,Great for video calls,220
Laptop,Good for programming,140
Running Shoes,Great for cross-training,190
Headphones,Good for music production,95
Fitness Tracker,Great for tracking sleep,270
Tablet,Great for presentations,250
Basketball,Good for casual play,125
Wireless Earbuds,Good for gaming,105
Smart Watch,Great for fitness challenges,290
Tennis Racket,Good for advanced players,135
Gaming Console,Great for retro gaming,320
Soccer Ball,Good for training drills,115